id,plot,NDVI_d28,SAVI_d28,GNDVI_d28,MCARI1_d28,SR_d28,NDVI_d01,SAVI_d01,GNDVI_d01,MCARI1_d01,SR_d01,NDVI_d04,SAVI_d04,GNDVI_d04,MCARI1_d04,SR_d04,NDVI_d08,SAVI_d08,GNDVI_d08,MCARI1_d08,SR_d08,Class
109,41,0.807148408,1.210679778,0.705810578,18296.0697,10.35485539,0.789467548,1.184176076,0.732064057,30092.76932,9.065155902,0.780057503,1.170048361,0.69906681,20306.01792,8.457682575,0.73383958,1.100720915,0.680649795,17245.07293,6.774250755,1
110,42,0.807833583,1.211707819,0.701071222,18454.70437,10.57220579,0.782705983,1.174034465,0.723793197,31622.9287,8.985410286,0.760081409,1.140078554,0.687380993,17219.53378,7.705673879,0.712540902,1.068773017,0.664800892,15658.94027,6.155553314,1
111,51,0.681086857,1.021585198,0.568552528,12579.47939,5.416263147,0.635929577,0.953868658,0.592643702,18122.40482,4.520550195,0.642946343,0.964380991,0.552339957,13257.79545,4.653616843,0.655962402,0.983907832,0.582567164,14305.08896,4.902358902,0
112,62,0.793019641,1.189482991,0.67066305,16584.48699,9.574839302,0.765204057,1.147779304,0.702255463,27445.90938,8.199549367,0.74766722,1.121455429,0.666697474,16048.56718,7.300400969,0.727466769,1.091159008,0.652468054,15632.5219,6.522027601,1
113,63,0.821537894,1.232262028,0.682231558,18581.87596,11.05799758,0.796381995,1.194548754,0.711331342,34253.45207,9.490143373,0.746678105,1.11997229,0.652294014,16195.47682,7.210825055,0.686715329,1.03003114,0.623842369,13349.71235,5.484878754,1
114,43,0.801627099,1.202396417,0.693121338,17568.67816,10.17605228,0.763526394,1.145262357,0.715827853,27063.05983,8.189961436,0.753923734,1.130838278,0.688377452,15339.7571,7.613094977,0.721475185,1.08217144,0.672335236,15163.30603,6.458732816,1
115,61,0.789764674,1.184601602,0.668828279,16800.07702,9.305882209,0.765345092,1.147991016,0.693785763,26884.09918,7.998906896,0.744977788,1.117425918,0.659656065,17071.87898,7.152252844,0.710745332,1.066076902,0.646036629,14859.91812,6.071482431,1
116,44,0.797514159,1.196226762,0.68833035,17275.28021,9.986011963,0.765820498,1.148707067,0.706658336,30783.60464,8.135937989,0.740937553,1.111358169,0.676825469,14419.13457,7.107937761,0.707083599,1.06058574,0.653542835,15068.3686,6.024346962,1
117,53,0.701225806,1.051788051,0.578802988,11994.50233,5.884711372,0.664516597,0.99675122,0.607315887,21934.77021,5.039765526,0.657798113,0.986656333,0.568876275,12874.34936,4.915552843,0.682624072,1.023896857,0.593515429,14350.54472,5.414652526,1
118,64,0.791775505,1.187618234,0.693406082,16786.39937,9.71127766,0.779330158,1.16897257,0.71543524,33334.75676,8.824425901,0.731582218,1.097328379,0.662359522,15165.26401,6.772345816,0.695610017,1.043374787,0.650319344,14261.214,5.712711718,1
119,71,0.782725008,1.174042322,0.669256263,16624.67195,9.015159091,0.74734241,1.1209854,0.691065195,25070.98153,7.521210128,0.718302573,1.0774094,0.644398212,14525.12696,6.37345919,0.705159025,1.057696117,0.645867681,14201.17261,5.973567862,1
120,54,0.7046799,1.056971315,0.576898084,12621.61309,5.956860784,0.66547886,0.998194361,0.606511128,21892.37025,5.087874644,0.663610762,0.995373043,0.573946539,12539.39659,5.038392205,0.690166146,1.035210448,0.598533841,15055.00003,5.644586039,0
121,52,0.667111025,1.000618261,0.562755362,11239.21978,5.09296702,0.645283176,0.96789952,0.602207171,19010.54014,4.675970711,0.651874436,0.977771491,0.561289355,12820.83111,4.798288072,0.67374775,1.010584213,0.588338437,14575.8112,5.243901078,0
122,72,0.812336059,1.218459266,0.69367214,17784.56409,10.29013043,0.770907764,1.156336523,0.706956238,28938.88404,8.13683719,0.744882972,1.117280995,0.667291453,16258.71547,7.075653591,0.684262314,1.026357149,0.626672561,15160.59773,5.439071344,1
123,73,0.806878074,1.210271185,0.688115189,17263.46721,10.17059105,0.751750679,1.127598751,0.699975616,25997.41902,7.720031261,0.707443402,1.061116829,0.639092632,12995.39399,6.07039243,0.678222998,1.017293012,0.623547017,13112.05762,5.327960133,1
124,74,0.802670217,1.203958851,0.701760932,16544.83101,9.80686104,0.754906342,1.132335108,0.704767904,28786.27816,7.706503419,0.72522956,1.087797807,0.665006328,14071.72919,6.565316563,0.695496718,1.043205279,0.642551975,14286.78164,5.714190818,1
125,94,0.801022893,1.201488603,0.699573666,16937.8626,10.01985549,0.744597269,1.116868235,0.718585866,24549.14432,7.530731195,0.708223732,1.062281029,0.676914527,11312.97788,6.152583928,0.688090088,1.032092567,0.64145308,13283.71021,5.512737737,1
126,91,0.773628973,1.160396861,0.670690829,15547.98433,8.680776628,0.749536711,1.124276508,0.699219663,24292.3279,7.484660841,0.736340809,1.104466257,0.665710117,15362.27518,6.95291891,0.712814774,1.069179258,0.648931535,14649.76088,6.139510018,0
127,83,0.806062688,1.20904814,0.698844931,17124.72835,10.3321434,0.767125167,1.150662297,0.711544563,28826.60696,8.256129794,0.719522872,1.07923817,0.651180113,13977.37931,6.357974168,0.674288588,1.011391877,0.622217163,13092.25288,5.230628953,1
128,82,0.750210172,1.125267583,0.644542246,14328.38849,7.591730891,0.707780212,1.061642147,0.668688466,21656.64142,6.144367868,0.683641031,1.025412464,0.626455608,11786.65046,5.459074883,0.658993377,0.988444552,0.61749475,11584.92863,4.92868687,1
129,81,0.807575817,1.211320591,0.706453868,18155.87571,10.34877649,0.774815349,1.162195972,0.727686976,27744.20116,8.538698954,0.734908937,1.102315315,0.682965178,14698.32604,6.903508551,0.710542324,1.065769133,0.663861447,13727.74708,6.049483743,1
130,84,0.781298705,1.1719033,0.671280014,16684.03811,9.000704055,0.734849967,1.102247899,0.691017377,25430.27568,7.154167907,0.708275709,1.062360919,0.654872366,12633.29162,6.177029671,0.672909346,1.009325603,0.626687278,13901.73759,5.240016049,1
131,92,0.760722281,1.141036601,0.660274433,14967.20998,8.141685154,0.729610871,1.094387846,0.687685243,23396.21203,6.989577697,0.712178832,1.068221754,0.644260759,14209.13957,6.259535894,0.685161735,1.027701091,0.627243269,14067.88995,5.514437623,1
132,93,0.775177889,1.162720281,0.672197806,15638.715,8.715507536,0.744264737,1.116369637,0.703833627,24709.99277,7.377157301,0.7142334,1.071299779,0.663589843,12466.88602,6.338209311,0.715345829,1.072979346,0.648119889,15801.33386,6.342295681,1
